,pvalue,rho
0,0.32314506999633796,0.06514934704125604
1,0.006076359036027214,0.17963101063778483
2,0.4994322676525266,0.04455973764927216
3,0.11921211349770067,0.10257760603685576
4,0.17951891301318137,0.08842713032001022
5,0.10320868875824317,0.10725196138959471
6,0.6187629013671205,0.03283788512259611
7,0.4798918019971865,0.04660899669443641
8,0.1593823911835748,0.09268568562027182
9,0.6945013901397304,0.025921220554769663
10,0.829803789841896,0.014188295713143487
11,0.5878041852955664,0.03576720969924349
12,0.7266846750756941,0.023069915123931355
13,0.7070095020436322,-0.024807627171158475
14,0.4383967624780448,-0.051117731182208775
15,0.609959336300685,-0.033664109992304535
16,0.4570663436539578,-0.04906097412677503
17,0.9444563941721155,-0.004598869377044571
18,0.28059857240729796,-0.07113266242854861
19,0.15051279084512395,-0.09469034839222364
20,0.28667308448907847,-0.07024307761846786
21,0.11890270414653223,-0.10266318141016319
22,0.21501452100957133,-0.08170819659701278
23,0.4022902573543049,0.05524344328670357
24,0.35986562498235364,0.06038475703780746
25,0.37388284082652556,0.05864690354159263
26,0.38147833795755537,0.057721948711310866
27,0.37286089476666207,0.05877222951487735
28,0.3544076389392157,0.061072821204860836
