,pvalue,rho
0,0.25002168667299685,-0.0758214543532272
1,0.13400520830106033,-0.09867361412834347
2,0.30506772992007725,-0.06762381787713055
3,0.24828542176809512,-0.07609928517634115
4,0.05593043490540945,-0.1256819625627724
5,0.6421791611147433,-0.030664491848426678
6,0.5573416488961692,-0.038719641647715755
7,0.5767950069726857,-0.036825719285369034
8,0.48964196488909784,-0.045581005135617185
9,0.5072600699436101,-0.043750768804969545
10,0.39354264564966135,-0.05627556276523771
11,0.141656329395152,-0.0967834161080017
12,0.03208956202282836,-0.14077299495663934
13,0.09817473204814216,-0.1088402628876663
14,0.142946363269695,-0.09647245281393556
15,0.2647124281363213,-0.07352245469371378
16,0.2271252562121761,-0.07959983519628852
17,0.02092015201168003,-0.15156269659351113
18,0.14486000681809272,-0.0960150848797217
19,0.12517218654717063,-0.10096193257618531
20,0.08088232038241341,-0.11484438972799517
21,0.142272688038292,-0.0966345742477358
22,0.14862957588934558,-0.09512742245712898
23,0.06413095437325433,-0.12174681093003324
24,0.06173577625326924,-0.12285115391815392
25,0.06168332734152012,-0.12287572763840583
26,0.06279673509716031,-0.12235771361549562
27,0.06056657631337554,-0.12340307967501175
28,0.060546952596515866,-0.12341241768870745
