,pvalue,rho
0,0.8127215202841737,-0.01077418583490736
1,0.8777796071479818,0.006993733379111465
2,0.12206941027217685,0.07022881497404773
3,0.8321257951971414,0.009640024730590177
4,0.7036998451392179,-0.01729540357708813
5,0.7902245852876241,-0.012097576814320493
6,0.680688783618403,-0.01871363477596797
7,0.9933642272323434,0.000378231835325469
8,0.3043448629780053,-0.046687762802524575
9,0.5397639152508755,-0.027880344183693822
10,0.8614203695235625,0.00793880986925519
11,0.35595504730913585,-0.04196228073749172
12,0.2166859019298235,-0.05613872693259028
13,0.809919825281253,0.010938478886475615
14,0.31754544572222365,0.04543248262812195
15,0.3320512712001099,0.04409179729396194
16,0.3489359260335244,0.04257791584180874
17,0.8215744543333492,0.010255953949926105
18,0.09548680756944303,0.07570934213451946
19,0.07174124619284145,0.08175772020093829
20,0.16022764891354288,0.06380000741672989
21,0.12007572437978138,0.07060534154118107
22,0.39166681798999514,0.03894163415658179
23,0.9176763503028784,0.004700635201115443
24,0.9244447504688329,0.0043129539474152
25,0.9210598378711863,0.004506794574265322
26,0.9244447504688329,0.0043129539474152
27,0.9244447504688329,0.0043129539474152
28,0.9210598378711863,0.004506794574265322
