,pvalue,rho
0,0.2935807379071203,-0.06924671426634495
1,0.6480477248451739,-0.03012502968427359
2,0.3381419394510299,-0.0631638234617263
3,0.8683733493728409,0.010939141535180986
4,0.2258008967944782,-0.07982644074198361
5,0.5237337330186772,0.04206922002167329
6,0.9400359469803937,0.004965532392797978
7,0.020471294975848698,-0.15209285954170607
8,0.4766417603904415,-0.04695416307237232
9,0.7503780319573282,-0.02099809023509973
10,0.9919088529301285,-0.0006693997848908468
11,0.4272892648828017,-0.052365144666906664
12,0.6449021871413609,0.030413929163377585
13,0.1919546449767233,-0.08597120431513783
14,0.38173395478348815,-0.05769101718157741
15,0.4102938312990899,-0.05431076574064393
16,0.38571904229947174,-0.05721041362044243
17,0.3552608355202528,-0.060964827099127275
18,0.3201113850896863,-0.06555818622195449
19,0.16501880116016182,-0.09145500930225306
20,0.042003051765689844,-0.13362759247519895
21,0.2681887840673084,-0.07299132055705417
22,0.2528652922270479,-0.07536930788413665
23,0.27503609436424825,-0.07195873024997777
24,0.2451378178457687,-0.07660641741936067
25,0.25760019717567667,-0.07462417810381267
26,0.2546768571353528,-0.07508309355825592
27,0.2501607657484398,-0.0757992574400023
28,0.25433995045517466,-0.0751362156044294
