,pvalue,rho
0,0.5851369828288844,-0.03602280688716134
1,0.7149423092840127,0.024105011474636374
2,0.46311837949363843,-0.048404391716172765
3,0.5721533732346176,0.03727482555908828
4,0.6433100412962769,-0.030560379335495956
5,0.5620767880890266,0.03825577355682509
6,0.7870490728250341,0.017830756341592296
7,0.07966332900856124,-0.11530534993501455
8,0.34333886445042283,0.06248894842856263
9,0.45385723805419764,0.04941109539332061
10,0.2262971875002048,0.07974141244849005
11,0.46614611494385005,0.04807769927424809
12,0.5242865120512863,0.04201326957377451
13,0.06407192110407274,-0.12177361908537536
14,0.14173693890606795,-0.09676392200001402
15,0.0452165925319084,-0.13161774971793078
16,0.06325375016809283,-0.12214726929241194
17,0.04150246838008595,-0.13395221517122546
18,0.40194828477906397,-0.055283538783576516
19,0.10054175483789911,-0.1080855871630714
20,0.5905204486315512,-0.03550745809745374
21,0.1664564417602777,-0.09114615796944174
22,0.26621708576385755,-0.07329198417446589
23,0.7854947906889644,-0.01796412671575125
24,0.8147889087898488,-0.01546203051970212
25,0.7907274173426343,-0.017515410583951438
26,0.7893280651129984,-0.01763533033878074
27,0.8038985366214724,-0.016389442722009078
28,0.8145229983095952,-0.015484638342333877
