,pvalue,rho
0,0.21589447471902742,-0.08155219164473704
1,0.23491252055871248,-0.07828594795104937
2,0.6289265951431791,-0.031890322925658764
3,0.16220511755134917,-0.09206535232601963
4,0.09365911248058183,-0.11032098751297839
5,0.2869811224853986,-0.07019830574740263
6,0.16063915668480566,-0.09240848380216034
7,0.9119575444172776,-0.00729858451928276
8,0.08539327030588896,-0.11318583369548774
9,0.13119550868751018,-0.09938855480634406
10,0.39577983466130073,-0.05601030207261373
11,0.2630289957641859,-0.07378137410841819
12,0.340934650138206,-0.06280034692817162
13,0.9477075412365118,-0.004329286919501913
14,0.6800531606923554,-0.027216758787833115
15,0.5570031547138063,-0.03875287422914206
16,0.765982064177986,-0.01964489140950155
17,0.656639677255296,-0.029338804139327723
18,0.533945270164207,-0.04104042453021624
19,0.5123790786743826,-0.04322526467995527
20,0.6864853580267205,-0.026638741022329736
21,0.6941357224571663,-0.025953884885416625
22,0.829616428482064,-0.014204156579976824
23,0.985187752412799,0.001225501439576684
24,0.9963197598773126,-0.00030447088101774844
25,0.990242669877275,-0.000807253304393304
26,0.9884962634440382,-0.0009517479597915575
27,0.9996881141530551,2.5802617035402412e-05
28,0.9968781790232601,0.0002582719095638851
