,pvalue,rho
0,0.3799291158490352,0.057909687111029895
1,0.053147807470536136,0.12712590331255968
2,0.7573320860046338,0.02039397711141932
3,0.33579023277113185,0.06347139064626275
4,0.19198817817174635,0.08596474179499095
5,0.8068880923909434,-0.01613454283281253
6,0.9194155315389385,-0.0066781310128840535
7,0.8490210713324575,0.012565624086221763
8,0.45415244238966934,0.04937883014936629
9,0.14967763465553413,0.09488366469187849
10,0.2023362836175937,0.08400855369226609
11,0.10870458165598713,0.10558630824771402
12,0.31870374066589213,0.06574874424566886
13,0.5664283246076325,0.03783113586786225
14,0.8292354338862725,0.014236411766784028
15,0.8863036123789375,0.00943806251729421
16,0.8753291206175549,0.010356195846546897
17,0.24184559863641877,0.07714172977986838
18,0.8631110416455272,-0.011380723787219509
19,0.6509670600159965,-0.029857418129718028
20,0.5779600672391617,0.03671325917517676
21,0.8586013913335028,-0.011759549730801221
22,0.6880063952493362,0.026502353767308435
23,0.10747640563368785,0.1059526800449506
24,0.09622026544169734,0.109474363974409
25,0.09654706111649501,0.10936763130585798
26,0.10231320194340028,0.10752995170242657
27,0.09863421649823757,0.10869264600381785
28,0.10158241894128163,0.10775824102127177
