,pvalue,rho
0,0.21517979699294118,-0.08167886039253058
1,0.14530348312359773,-0.09590974963840787
2,0.46059722031661987,-0.04867732803788249
3,0.32512918475113917,-0.06488329814202246
4,0.04921942006961015,-0.1292752096802384
5,0.6260848894209551,-0.032154589618887716
6,0.80433576424288,-0.016352148104027495
7,0.6609669204473859,-0.028944398676325225
8,0.5552605405290383,-0.03892411510548003
9,0.7964098565693701,-0.017029030075650407
10,0.39787762988049913,-0.055762385448059525
11,0.09654362070695675,-0.10936875345962233
12,0.04350816529464399,-0.1326707515837382
13,0.1602626533847002,-0.09249135684171984
14,0.16106279637367263,-0.09231540962041063
15,0.26589552959389423,-0.07334116236506441
16,0.2309184282912198,-0.07895593485660284
17,0.04517318989543896,-0.13164408514144404
18,0.111017242979311,-0.10490516581806528
19,0.10181404346938513,-0.10768574363502113
20,0.09328567657769435,-0.11044596715540785
21,0.1427077696476587,-0.09652980412963877
22,0.1900372177542456,-0.08634211163688243
23,0.09425919566457638,-0.11012098387885624
24,0.08818734034029728,-0.11219353144490204
25,0.09001909489668998,-0.11155658061597262
26,0.0890796648549873,-0.11188193667210787
27,0.08720350923838274,-0.11254002090045394
28,0.08908814395425217,-0.11187898782567765
