,pvalue,rho
0,0.8792064693308614,-0.010031595899931352
1,0.26990577604406,0.07273072362932297
2,0.6502975959266954,0.02991874374473815
3,0.2768585733357243,0.07168684395936627
4,0.8842214704429996,-0.009612111145386154
5,0.9710231680161778,0.002397804977052878
6,0.5620946209337433,-0.038254030161257516
7,0.9471134702988816,0.004378541308449233
8,0.9330189013780953,0.005547892860224668
9,0.6632629174830076,-0.02873554795773565
10,0.8566602245067547,0.011922732161852995
11,0.6050332609580797,0.03412871870632059
12,0.634349194733246,0.03138744651096447
13,0.4501592877998395,-0.049816275739064726
14,0.2665975432192367,-0.07323385016101444
15,0.18149925265149636,-0.08802782795818641
16,0.1609425050536976,-0.09234181907895825
17,0.8170939303554782,-0.01526613180706423
18,0.45589028197516646,0.0491891253029885
19,0.925225665928406,0.0061951762441654215
20,0.36221945663411836,0.06009003141068157
21,0.6216745904060685,0.032565748115835895
22,0.48509069299954766,0.046059476216783704
23,0.2916095608425193,0.069529425668825
24,0.28516501079481116,0.07046273623668059
25,0.2848687071366083,0.07050598601549643
26,0.29183185621710506,0.06949747980947239
27,0.28952210898886993,0.06983020822149884
28,0.292297332426581,0.06943063924221153
